"Breed","BreedEntity","StrangerDirectedAggression","OwnerDirectedAggression","DogDirectedAggression","StrangerDirectedFear","DogDirectedFear","NonsocialFear","DogRivalry","Trainability","Chasing","AttachmentAttentionSeeking","SeparationRelatedBehavior","TouchSensitivity","Excitability","EnergyLevel"
"Havanese","Entity[""DogBreed"", ""Havanese""]",0,0,0,1.5,1,0.5,0,2.625,2,1.1666666667,0.125,0,1.3333333333,0.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.1,0,0.25,3.75,0.5,2.1666666667,0,2.25,3,2.1666666667,1.125,1.25,1.6666666667,"Missing[""NotAvailable""]"
"French Bulldog","Entity[""DogBreed"", ""FrenchBulldog""]",0.875,1.625,1,0.75,0.75,1.4,1.25,1.25,0,1.6,1.625,0.3333333333,2.4,4
"Brittany","Entity[""DogBreed"", ""Brittany""]",0.25,0,0.25,0,1,0.6666666667,"Missing[""NotAvailable""]",2.5714285714,2,2.8333333333,0.875,0.6666666667,0.8333333333,2
"Collie","Entity[""DogBreed"", ""Collie""]",0.2,0,0,0,0.25,0.3333333333,0.25,3.5,0.25,2.1666666667,0.375,0.5,2.1666666667,1.5
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",1.3333333333,0.375,0.25,2,1.5,0.6666666667,0.75,2.75,2.5,3.8333333333,1.625,0.75,3.5,3
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.375,0,1,0,0,0.5,3.3333333333,3.125,3.6666666667,0.8333333333,0.875,0.5,"Missing[""NotAvailable""]",4
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.5,0,0.5,0,0,0.3333333333,0.25,3,1.5,1.6666666667,0,0,0.8333333333,1.5
"Whippet","Entity[""DogBreed"", ""Whippet""]",0,0,0,0,0,0.3333333333,1,2.875,2.75,1,1,0.75,1.2,1.5
"Vizsla","Entity[""DogBreed"", ""Vizsla""]",0,0,0,0,0,0.1666666667,0,3.375,1,2.2,0.25,0.25,2.2,3
"Lowchen","Entity[""DogBreed"", ""Lowchen""]",0,0,0.5,0,0.5,0.1666666667,0,3.625,2,1.6666666667,0,0.25,1.6666666667,2
"Irish Water Spaniel","Entity[""DogBreed"", ""IrishWaterSpaniel""]",0,0,0,0,0.5,0,0,3.375,1.5,1.5,0,0,2,3
"Irish Water Spaniel","Entity[""DogBreed"", ""IrishWaterSpaniel""]",0.4,0,1,0,0.75,0.5,0.5,3.375,2.5,1.6666666667,0,0.75,2,1.5
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",0.7,0,0,0,0.5,1,0,3.375,3,2.8333333333,0,1.75,3,2
"English Springer Spaniel","Entity[""DogBreed"", ""EnglishSpringerSpaniel""]",0,0,0,0.25,0.25,0.1666666667,0,2.2857142857,2.25,1.5,0.25,0,"Missing[""NotAvailable""]",2
"English Springer Spaniel","Entity[""DogBreed"", ""EnglishSpringerSpaniel""]",0.2,0,0.25,0,0,0,0.5,2.8571428571,2.5,1.3333333333,0.25,0,1.8,2
"English Springer Spaniel","Entity[""DogBreed"", ""EnglishSpringerSpaniel""]",0,0,0,2.5,1,0.8333333333,0,2.2857142857,2.25,1.3333333333,0,0.25,"Missing[""NotAvailable""]",3
"English Springer Spaniel","Entity[""DogBreed"", ""EnglishSpringerSpaniel""]",1,0,1.25,1.75,1.5,0.3333333333,0.5,3,3.25,2.3333333333,0.5,0,2,2
"English Springer Spaniel","Entity[""DogBreed"", ""EnglishSpringerSpaniel""]",0,0,0,1,1,0,0,2.4285714286,2.75,1.8333333333,0.25,0,2,2
"Golden Retriever","Entity[""DogBreed"", ""GoldenRetriever""]",0,1.25,0.5,0,1,0.6666666667,0,3.375,3.5,3.1666666667,0.75,1.25,2.6666666667,2.5
"Australian Cattle Dog","Entity[""DogBreed"", ""AustralianCattleDog""]",1.3,0,0.5,1.5,0,0.6666666667,0.75,2.5,0,1.5,1,1.25,2.1666666667,0
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.2,0,1.75,0.5,2.5,1,0,2.5714285714,2.25,1.6666666667,0.125,0.25,2.3333333333,2.5
"Dalmatian","Entity[""DogBreed"", ""Dalmatian""]",0.1,0,0,0,0,0.3333333333,0.25,2.75,1.5,2,1,0,1.5,1
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",0.9,0,1.5,0,0.25,1.3333333333,0.5,3.875,3.25,2.1666666667,0,0.5,3,4
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]",4,0,4,3.5,0.5,1.1666666667,1.5,3.25,4,3.3333333333,0,0.75,3,2.5
"Portuguese Water Dog","Entity[""DogBreed"", ""PortugueseWaterDog""]",0.4,0,2.5,1.25,2,0.8333333333,0.25,2.75,2.25,1.8333333333,0.25,0,2.6666666667,2
"Cocker Spaniel (American)","Entity[""DogBreed"", ""CockerSpaniel""]",0,1.125,0,0,0.5,1.3333333333,"Missing[""NotAvailable""]",3.25,3.5,3.1666666667,1.25,1.6666666667,1.6666666667,3
"Pug","Entity[""DogBreed"", ""Pug""]",0,0,0,0,0.25,0.3333333333,0,2.875,3,2.6666666667,0,0.75,2,1.5
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]",0.4,0,2,0.75,2,0.8333333333,0,3.875,2.25,2.5,0.125,0,2,4
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.3,0,0,0.25,0,0.6666666667,0,2.75,2.5,1.6666666667,0.5,0.5,2,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.5,0,0.25,0,0,"Missing[""NotAvailable""]",0,0.875,"Missing[""NotAvailable""]",3.5,0.625,"Missing[""NotAvailable""]",3.6666666667,4
"Portuguese Water Dog","Entity[""DogBreed"", ""PortugueseWaterDog""]",0,0,1,0,0,0,0,2.625,0.75,1.8333333333,0,0,1.5,2
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",1.3,0,4,0.75,4,0.1666666667,0,3.25,0.75,1.6666666667,0,0,2.5,2.5
"Doberman Pinscher","Entity[""DogBreed"", ""DobermanPinscher""]",1.1,0,1.6666666667,1,2,0.3333333333,"Missing[""NotAvailable""]",2.5,3,2.8333333333,0.75,0,0.8333333333,3
"Golden Retriever","Entity[""DogBreed"", ""GoldenRetriever""]",0.1,0,0.25,0.25,1,0.3333333333,0,2,2.75,1.5,0,0,1.6666666667,1.5
"Black and Tan Coonhound","Entity[""DogBreed"", ""BlackandTanCoonhound""]",0,0.375,0,0,0,0,0.5,1.875,0.75,2.5,0.625,0,3.6666666667,2.5
"Papillon","Entity[""DogBreed"", ""Papillon""]",0.4,0.125,0.25,0,0,0.6666666667,0,3,1,1.6666666667,0.125,0.75,1.8333333333,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.2,0,2.5,0.5,0.5,0.6666666667,0.25,3.25,3.25,0.6666666667,0,0,1.8333333333,0.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0,0,0,1,2,2,0,2.875,1,1.8333333333,1,1,2.3333333333,1.5
"American Pit Bull Terrier","Entity[""DogBreed"", ""AmericanPitBullTerrier""]",0.3,0,0,1,0,0.1666666667,0,3.375,1.5,2.3333333333,0.125,0.25,2.1666666667,3.5
"Irish Red and White Setter","Entity[""DogBreed"", ""IrishRedAndWhiteSetter""]",1.1,0.5,0.6666666667,0.25,0.25,0.3333333333,2,1.875,2.75,3.6666666667,0.625,0.5,3.6666666667,4
"Doberman Pinscher","Entity[""DogBreed"", ""DobermanPinscher""]",0.8,0.125,0.5,0,0,0,0,2.7142857143,1.5,4,0.4285714286,1,2.8333333333,2.5
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.4,0,1.75,1.25,3,0.3333333333,1,2.625,1.75,1.5,0.375,0.5,2,4
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.7,0,3,0.5,0,1.8,2,2,4,2.6666666667,1.5,2.5,2.5,1.5
"Lhasa Apso","Entity[""DogBreed"", ""LhasaApso""]",1.3,0,0,1,1.5,0,0.25,3.4285714286,0.75,1.6666666667,1.25,0,2,0.5
"Lhasa Apso","Entity[""DogBreed"", ""LhasaApso""]",1.6,0.25,0,2,2.5,0.3333333333,"Missing[""NotAvailable""]",2.375,1.5,2.1666666667,1.5,1,2,1.5
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0,0,0.5,0,2,0,0,2.75,2.75,2.6666666667,0,1,1.6666666667,2.5
"Welsh Springer Spaniel","Entity[""DogBreed"", ""WelshSpringerSpaniel""]",1.1,0,0,1,1,0,0.5,2.25,1,1.8333333333,1.125,0,1.5,1.5
"Airedale Terrier","Entity[""DogBreed"", ""AiredaleTerrier""]",0,0,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",0,1.6666666667,0,2.4285714286,2.25,2.6666666667,0,1,3.6666666667,3
"Fox Terrier (Wire/Wire-haired)","Entity[""DogBreed"", ""WireFoxTerrier""]",1.5,1.25,2.5,0,0.75,0.2,2,2.125,4,"Missing[""NotAvailable""]",2.25,2,3.1666666667,2.5
"Chihuahua","Entity[""DogBreed"", ""Chihuahua""]",0.8,0,0.25,2.25,0,1.1666666667,0,2.75,2,3.1666666667,0.125,1.25,2.8333333333,2.5
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",0.5,0,1,0,0.25,1.1666666667,1,3,2.25,1.6666666667,0.125,0.5,3,2
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",0.3,0,1.25,0,0,0.8333333333,0.5,3.625,0,1.6666666667,0.25,0.25,3.1666666667,3
"Akita","Entity[""DogBreed"", ""Akita""]",0,0,3.3333333333,0,0,1,"Missing[""NotAvailable""]",3.125,3.25,1.1666666667,0,0.5,0.6666666667,0
"Mixed Breed/Unknown","Missing[""NotAvailable""]",2.3,0,2.5,2.25,1,0.6666666667,0.5,2,2,2.1666666667,0.75,0.5,2.5,1
"Bearded Collie","Entity[""DogBreed"", ""BeardedCollie""]",0,0,0.25,0,0,0,0.5,2,3.5,2.3333333333,0,0,2.3333333333,1.5
"Bearded Collie","Entity[""DogBreed"", ""BeardedCollie""]",0,0,0,0,0,1.1666666667,0.25,3.25,3,0.8333333333,0,0.25,2.6666666667,1
"Bearded Collie","Entity[""DogBreed"", ""BeardedCollie""]",0,0,1.75,0,2.75,0,4,2.125,2.5,2.6666666667,0,0,2.6666666667,0
"Tibetan Terrier","Entity[""DogBreed"", ""TibetanTerrier""]",0.4,0.4285714286,1.3333333333,1.25,1.3333333333,1.6,0.5,1.75,2.3333333333,1.6666666667,0.875,1.5,2.8,2
"Havanese","Entity[""DogBreed"", ""Havanese""]",0,0,0,0,0,0.3333333333,0,2.75,1.5,1.3333333333,0.125,0.25,2.1666666667,2
"Great Pyrenees","Entity[""DogBreed"", ""GreatPyrenee""]",0.9,0,"Missing[""NotAvailable""]",0,0,1.3333333333,1.5,1.75,1.25,2.1666666667,1.25,0.25,2,1.5
"Pug","Entity[""DogBreed"", ""Pug""]",0.1,0.5,0,0,0,0.3333333333,0.75,2.5,1.75,1.5,0.625,2.5,2.3333333333,0
"Pug","Entity[""DogBreed"", ""Pug""]",0.3,0.125,0.25,0,0,2.6666666667,0.25,1.7142857143,"Missing[""NotAvailable""]",2.5,1.625,0.6666666667,2.8333333333,2
"Golden Retriever","Entity[""DogBreed"", ""GoldenRetriever""]",0.2,0,0,0,0.3333333333,0.6666666667,0,3.5,1.5,1.1666666667,0.5,0,1.6666666667,2
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0.8,0,0.25,0,0.25,0.5,0.5,3.625,1.25,2.8333333333,0.375,0.5,2,2
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.6666666667,0.375,1,0.5,1,0.3333333333,0.75,3,4,0.5,0.375,0.5,1.8333333333,1.5
"Cardigan Welsh Corgi","Entity[""DogBreed"", ""CardiganWelshCorgi""]",0.125,0,1,1.5,0.75,1,0.75,2.375,2.75,2,1.875,2,1.6666666667,2.5
"Doberman Pinscher","Entity[""DogBreed"", ""DobermanPinscher""]",0.6,0,0.6666666667,0,0,0.1666666667,0.5,3,4,2,1.125,0.25,2.8333333333,3.5
"Great Dane","Entity[""DogBreed"", ""GreatDane""]",0,0,0,0,1.25,0.8333333333,0.5,2.5,3.25,1.3333333333,0.5,1.5,2.5,2
"Akita","Entity[""DogBreed"", ""Akita""]",1,0,1.5,"Missing[""NotAvailable""]",0.5,0.1666666667,0,2.25,3.25,1.3333333333,0,0,2.3333333333,1.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.25,0,0,0,0,0.3333333333,"Missing[""NotAvailable""]",1.8571428571,0.5,0.6666666667,0.375,"Missing[""NotAvailable""]",0.8,0
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",0.7,0,1.25,1,0.25,2.1666666667,1.25,3.625,0,2,0,0,2.3333333333,0
"Scottish Terrier","Entity[""DogBreed"", ""ScottishTerrier""]",1.6,0,1.25,0.5,0.25,0.1666666667,0,3.125,3.5,1.8333333333,0,0.5,2.5,2
"Poodle (Toy)","Entity[""DogBreed"", ""ToyPoodle""]",1.4,2,1.25,2.5,1.6666666667,1.8,"Missing[""NotAvailable""]",1.625,3.25,"Missing[""NotAvailable""]",1,0.6666666667,3.5,3
"Siberian Husky","Entity[""DogBreed"", ""SiberianHusky""]",0,0,0.25,0,0.25,0,0.75,2.875,0.5,1.6666666667,0,0.5,1.5,2
"Siberian Husky","Entity[""DogBreed"", ""SiberianHusky""]",0,0,0.25,0,0,0,1,2.625,2.25,1.6666666667,0,0.5,1.8333333333,2
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",1.8,0.25,1.75,0,0,0.6,"Missing[""NotAvailable""]",2.625,3.25,3.6666666667,0.125,2,3.5,2.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0,0,0.25,0,2.25,0.2,0.25,3.125,1,3,0.125,0,2,2
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0,0,0,0,0,0,0,3.375,1,1.6666666667,0.25,0,1.1666666667,1.5
"Akita","Entity[""DogBreed"", ""Akita""]",0.3333333333,0,0.3333333333,0.75,"Missing[""NotAvailable""]",0.5,1,2.5,1.75,1.3333333333,0.125,0.5,1,1
"Akita","Entity[""DogBreed"", ""Akita""]",1,1.875,"Missing[""NotAvailable""]",1,0.3333333333,1.3333333333,2,2.75,0.25,0.5,0,1.25,1,1
"Akita","Entity[""DogBreed"", ""Akita""]",0.2222222222,0,1,0,0,0,0.5,3.125,1.75,0.5,0,0.5,1,1
"Shih Tzu","Entity[""DogBreed"", ""ShihTzu""]",0.1,0.625,0,0.25,"Missing[""NotAvailable""]",0.6666666667,"Missing[""NotAvailable""]",1.8333333333,0.25,1.1666666667,0,1.6666666667,0.3333333333,0
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.1,0,0.25,0,0.25,0,0.25,2.625,1.25,1.1666666667,0.125,0,2,2
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.5,0.25,1.75,0,0,1.1666666667,0,1.875,1,0.6666666667,0.125,0.5,1.3333333333,1
"Akita","Entity[""DogBreed"", ""Akita""]","Missing[""NotAvailable""]",0,"Missing[""NotAvailable""]",0,0,"Missing[""NotAvailable""]",0.5,2.5,"Missing[""NotAvailable""]",0.8333333333,0.625,0.5,0.6,0.5
"Akita","Entity[""DogBreed"", ""Akita""]",0.2,0,1.75,0.25,0,1.5,1.5,3.125,4,3.1666666667,0.375,0.5,2.8333333333,4
"Akita","Entity[""DogBreed"", ""Akita""]",0.7,0,2,0,0,0.6666666667,0.5,2.75,4,2.1666666667,0,0,2.1666666667,3
"Akita","Entity[""DogBreed"", ""Akita""]",0.9,0,4,0.25,0,0,0.75,3,3.75,1.5,0,0,1.1666666667,0
"Akita","Entity[""DogBreed"", ""Akita""]",0.6,0,0.3333333333,0,1,0,0.25,3.5,2,1.3333333333,0,0,1,2
"Akita","Entity[""DogBreed"", ""Akita""]",0.6,0.125,1,0,0,1,0.5,2.25,2.75,2.8333333333,0.75,0.75,2.6666666667,2
"Shetland Sheepdog","Entity[""DogBreed"", ""ShetlandSheepdog""]",0.5,0.375,0,0,0,0,0,3,1.25,0,0,0,0,2
"Portuguese Water Dog","Entity[""DogBreed"", ""PortugueseWaterDog""]",0,0,0,0,0,0,0,3,0.5,3.1666666667,1,0,0,3
"Siberian Husky","Entity[""DogBreed"", ""SiberianHusky""]",0,0,0,0,0,0,0,2.25,0,0,0,0,0,1
"Bichon Frise","Entity[""DogBreed"", ""BichonFrise""]",0.9,0,0.25,0.25,0,0.6666666667,0.25,1.8571428571,1.75,1.3333333333,1,1,2.6666666667,2
"Parson Russell Terrier","Entity[""DogBreed"", ""ParsonRussellTerrier""]",2,0.125,1.6666666667,0.25,0.6666666667,0.6666666667,"Missing[""NotAvailable""]",2,2.5,2.5,0.6666666667,0.5,2.3333333333,2
"American Pit Bull Terrier","Entity[""DogBreed"", ""AmericanPitBullTerrier""]",0,0,0,0,1,1.3333333333,0,2.5,"Missing[""NotAvailable""]",2.8333333333,0.125,1,3.6666666667,3.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1.5,0,1.75,3.25,2.5,3.1666666667,0.5,2.5,"Missing[""NotAvailable""]",2.3333333333,3,1.75,2.1666666667,3
"English Setter","Entity[""DogBreed"", ""EnglishSetter""]",0.4,0,0.25,0,0.25,0.6666666667,0.75,3.125,1.75,1.1666666667,0,0,2.3333333333,2.5
"Weimaraner","Entity[""DogBreed"", ""Weimaraner""]",0.4,0.125,0.25,0,0,0,0.75,3.625,3.5,1.3333333333,0,0.5,2,1.5
"Weimaraner","Entity[""DogBreed"", ""Weimaraner""]",1.5,0.125,1,1.5,1.25,1,0.5,2.875,4,3,0,1.25,2.8333333333,4
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1.2,0.125,1.75,1.5,2,2.1666666667,1,2.5,3.25,3,1.625,1.75,2.8333333333,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.7777777778,0,1.5,1.3333333333,1.5,1.2,0,2,2,2.6666666667,"Missing[""NotAvailable""]",0,2.8333333333,3
"American Eskimo Dog","Entity[""DogBreed"", ""AmericanEskimo""]",1.8,1.25,2.75,1,3,0.5,"Missing[""NotAvailable""]",1.625,3.75,2.3333333333,0,1.25,3.5,2.5
"Australian Cattle Dog","Entity[""DogBreed"", ""AustralianCattleDog""]",0,0.125,0,0,0,0,0,4,0.25,0,0,0.25,0.5,0
"Dachshund","Entity[""DogBreed"", ""Dachshund""]",1,0,1,0,0.25,0.6666666667,0.75,2.4285714286,3,2.8333333333,0.375,0,1.5,2.5
"Dachshund","Entity[""DogBreed"", ""Dachshund""]",1.4,0,1.25,0,0.25,0.6666666667,0.75,2.75,2.5,2,0.5,0,0.6666666667,1
"Dachshund","Entity[""DogBreed"", ""Dachshund""]",0.8,0,0.25,0,0.75,1,0.75,2,2.5,1.5,0.125,0,0.6666666667,1.5
"Cavalier King Charles Spaniel","Entity[""DogBreed"", ""CavalierKingCharlesSpaniel""]",1,1.25,1.5,0.75,"Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",2.5,3,2.3333333333,1.25,"Missing[""NotAvailable""]",3.1666666667,2
"Irish Water Spaniel","Entity[""DogBreed"", ""IrishWaterSpaniel""]",0,0,2,0,1.5,1.1666666667,0,2.75,2,2.3333333333,1.5,0.5,2.1666666667,1
"Shetland Sheepdog","Entity[""DogBreed"", ""ShetlandSheepdog""]",0,1,0.5,0,2.75,2.5,"Missing[""NotAvailable""]",2.5,3.5,2.6666666667,1.5,2.75,2.5,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.5555555556,0,1.5,1.25,2,0.6666666667,0.6666666667,2.75,2.5,1.1666666667,0,"Missing[""NotAvailable""]",2,1
"Pomeranian","Entity[""DogBreed"", ""Pomeranian""]",0.3,0,1.5,0,0,0,1.75,3.5,4,2,0,0,1.6666666667,2
"Soft Coated Wheaten Terrier","Entity[""DogBreed"", ""SoftCoatedWheatenTerrier""]",0.2,0,0.25,0,1,0.8333333333,0,3.125,3.5,1,0.375,0,2.5,1.5
"Rhodesian Ridgeback","Entity[""DogBreed"", ""RhodesianRidgeback""]",0,0,0.5,0.5,0.5,0.1666666667,0.75,2,1.75,1.5,1,0.25,0.8333333333,1
"Rhodesian Ridgeback","Entity[""DogBreed"", ""RhodesianRidgeback""]",0.3,0,1,1,0.75,0.3333333333,1,2.875,2.25,2.5,0.125,0.25,0.6666666667,1.5
"Dogo Argentino","Entity[""DogBreed"", ""DogoArgentino""]",0.5,0,1,0.25,3,1.1666666667,"Missing[""NotAvailable""]",3.2857142857,2.3333333333,2,0.25,0,2,2.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.2,0.75,1,1,1,1,0.75,2.125,2.5,1,1,1,1,0.5
"Alaskan Malamute","Entity[""DogBreed"", ""AlaskanMalamute""]",0,0.125,2.3333333333,0,0,1,"Missing[""NotAvailable""]",2.375,4,1.1666666667,0.25,0.6666666667,1.5,2.5
"English Springer Spaniel","Entity[""DogBreed"", ""EnglishSpringerSpaniel""]",0.4,0,0.75,0,0.75,0.1666666667,0.5,3.875,3.3333333333,2,0.25,0.5,2.3333333333,1.5
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]",1.3,0,0.75,1.25,1,0.8333333333,1.25,2.75,2.75,2.3333333333,0.375,0.25,0.5,2
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",0,0,0,0,0,0.5,0,3.5,2.75,0.5,0,0.25,0.8333333333,2.5
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",1.2,0.125,1.5,0.25,0.25,0,0.25,4,4,1.6666666667,0.5,0,3,3.5
"Boxer","Entity[""DogBreed"", ""Boxer""]",0.3,0,2,0.75,0,0,0,2.875,1,2,0,0.25,2.1666666667,2
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.6,0,2,0.75,4,0.5,0.25,3,3.5,2.8333333333,2.25,0.6666666667,3.6666666667,3
"Bullmastiff","Entity[""DogBreed"", ""Bullmastiff""]",0.9,0.125,4,1,2.5,1.1666666667,0,3.5,2.5,3.3333333333,1.125,2,2.8333333333,2
"Bearded Collie","Entity[""DogBreed"", ""BeardedCollie""]",1,1.1428571429,"Missing[""NotAvailable""]",2.3333333333,2,2.5,"Missing[""NotAvailable""]",2.2857142857,2.5,3.3333333333,1.625,1.3333333333,2.6666666667,2
"Beagle","Entity[""DogBreed"", ""Beagle""]",2.5,0.25,2.25,2.5,2.5,1.8333333333,0.75,2.25,3.5,1.5,1.25,2,2.5,0
"Dachshund (Miniature)","Missing[""NotAvailable""]",0.9,0.25,0.25,4,3.75,1.5,1.75,2.125,1.25,3.5,2,2.6666666667,1.3333333333,0
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.4444444444,0.5714285714,1,0,"Missing[""NotAvailable""]",1.6666666667,"Missing[""NotAvailable""]",2.875,2.75,2.8,1.375,2.5,3.5,2
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.6,0.125,"Missing[""NotAvailable""]",0,0,0,1,2.75,3.25,2,0.25,0,2.3333333333,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.4444444444,0,0.25,0.25,0.5,0.1666666667,0,3.375,0.25,0.2,0.625,0.75,1.3333333333,2.5
"Golden Retriever","Entity[""DogBreed"", ""GoldenRetriever""]",0,0.75,1,0,1.5,1.1666666667,2.5,3.125,1.5,2.1666666667,0.25,0,2.1666666667,1
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.4,0,0,0,0,1,0,3.875,1.3333333333,1.6666666667,3.3333333333,0,2,1.5
"Jack Russell Terrier","Entity[""DogBreed"", ""JackRussellTerrier""]",3.6,0.375,2.75,0,0,0.6666666667,0,1.375,4,3.1666666667,2.625,1,3,4
"American Pit Bull Terrier","Entity[""DogBreed"", ""AmericanPitBullTerrier""]",0.6,0,3.25,0,0,1.6666666667,1.3333333333,3,4,2.6666666667,2,1.25,2.5,3.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.1111111111,0.125,0,1.5,0.6666666667,1.6,"Missing[""NotAvailable""]",2.1428571429,0.6666666667,2.8333333333,2.375,0.75,1.3333333333,1.5
"Poodle (Toy)","Entity[""DogBreed"", ""ToyPoodle""]",0.2,0,1,0.25,1,0.3333333333,0,2.75,2,2.8333333333,0.375,0.25,0,2.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]","Missing[""NotAvailable""]",0,0,"Missing[""NotAvailable""]",2.5,1.8333333333,"Missing[""NotAvailable""]",2.25,1,2.1666666667,1.25,1,2,2
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",1.8888888889,0,1.5,2,1.75,0.6666666667,"Missing[""NotAvailable""]",3.375,2.75,2,0.125,0.75,2.6,1.5
"Chihuahua","Entity[""DogBreed"", ""Chihuahua""]",1.5,0.25,3.25,1.75,2,1.5,0,2.5,1.75,2.6666666667,1.25,0.25,3.5,2
"Chihuahua","Entity[""DogBreed"", ""Chihuahua""]",1.3,0,2.75,1.75,2,0.5,1,2.625,2.5,3.1666666667,1,0.5,4,3.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.6,0.375,2,0,4,0.8333333333,"Missing[""NotAvailable""]",1.625,3,2.6666666667,2,3,1.8333333333,0.5
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0.6,0.25,2.3333333333,0,0,0.3333333333,"Missing[""NotAvailable""]",2.125,2.5,3,2.5,0.75,2.3333333333,4
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.2222222222,0,0.3333333333,0,0.5,0.5,0.3333333333,3.2857142857,1.3333333333,2.8333333333,0.125,0.5,3.3333333333,3.5
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.5,0.125,0.5,0,0.75,1,0,3.25,3,2.8333333333,0.75,0.75,3.1666666667,3
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0,0,1,0,0.5,0.3333333333,0,2.5,1.75,1.6666666667,0,0.75,2.5,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.3,0,1.3333333333,0,0.6666666667,1.3333333333,"Missing[""NotAvailable""]",1.375,4,2.8,1.875,0,2.5,1
"Dachshund (Miniature)","Missing[""NotAvailable""]",0.4,0,0,0,0.3333333333,0.5,0,3.125,0.75,1.6666666667,0.5,0,2,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.3,0.125,2,0,0,1.1666666667,"Missing[""NotAvailable""]",2.25,3.25,2,0.375,1,3,2.5
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",0.8,0.25,0.25,0,1.6666666667,0.6,1,2,2.75,2.8333333333,1,1,3.4,4
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.4,0,0,0,0.5,0,0,1.75,2.25,2.8333333333,1,0,2.6666666667,2.5
"Rhodesian Ridgeback","Entity[""DogBreed"", ""RhodesianRidgeback""]",0.2,0,0,4,0,0.6666666667,0.75,2.125,1.75,1.5,0,0,2,0.5
"Beagle","Entity[""DogBreed"", ""Beagle""]",2.5,2.75,2.75,2.25,1.75,2,2.75,2.25,2.25,1.6666666667,1.875,1.75,2.6,2
"Maltese","Entity[""DogBreed"", ""Maltese""]",2.8,3.125,2.25,1,2,2.1666666667,1.25,1.75,0.75,1.5,1.375,2,2,0
"Bullmastiff","Entity[""DogBreed"", ""Bullmastiff""]",0.2,0,1.3333333333,0,0.6666666667,0,0,1.375,1.75,2.5,0.4285714286,0.75,1.8333333333,1.5
